id,nome,cidade,status,valor
111,Joao 111,"Sao Paulo, SP",cold,111
112,Joao 112,"Sao Paulo, SP",cold,112
113,Joao 113,"Sao Paulo, SP",cold,113
114,Joao 114,"Sao Paulo, SP",cold,114
115,Joao 115,"Sao Paulo, SP",cold,115
116,Joao 116,"Sao Paulo, SP",cold,116
117,Joao 117,"Sao Paulo, SP",cold,117
118,Joao 118,"Sao Paulo, SP",cold,118
119,Joao 119,"Sao Paulo, SP",cold,119
120,Joao 120,"Sao Paulo, SP",hot,120
121,Joao 121,"Sao Paulo, SP",cold,121
122,Joao 122,"Sao Paulo, SP",cold,122
123,Joao 123,"Sao Paulo, SP",cold,123
124,Joao 124,"Sao Paulo, SP",cold,124
125,Joao 125,"Sao Paulo, SP",cold,125
126,Joao 126,"Sao Paulo, SP",cold,126
127,Joao 127,"Sao Paulo, SP",cold,127
128,Joao 128,"Sao Paulo, SP",cold,128
129,Joao 129,"Sao Paulo, SP",cold,129
130,Joao 130,"Sao Paulo, SP",hot,130
131,Joao 131,"Sao Paulo, SP",cold,131
132,Joao 132,"Sao Paulo, SP",cold,132
133,Joao 133,"Sao Paulo, SP",cold,133
134,Joao 134,"Sao Paulo, SP",cold,134
135,Joao 135,"Sao Paulo, SP",cold,135
136,Joao 136,"Sao Paulo, SP",cold,136
137,Joao 137,"Sao Paulo, SP",cold,137
138,Joao 138,"Sao Paulo, SP",cold,138
139,Joao 139,"Sao Paulo, SP",cold,139
140,Joao 140,"Sao Paulo, SP",hot,140
141,Joao 141,"Sao Paulo, SP",cold,141
142,Joao 142,"Sao Paulo, SP",cold,142
143,Joao 143,"Sao Paulo, SP",cold,143
144,Joao 144,"Sao Paulo, SP",cold,144
145,Joao 145,"Sao Paulo, SP",cold,145
146,Joao 146,"Sao Paulo, SP",cold,146
147,Joao 147,"Sao Paulo, SP",cold,147
148,Joao 148,"Sao Paulo, SP",cold,148
149,Joao 149,"Sao Paulo, SP",cold,149
150,Joao 150,"Sao Paulo, SP",hot,150
151,Joao 151,"Sao Paulo, SP",cold,151
152,Joao 152,"Sao Paulo, SP",cold,152
153,Joao 153,"Sao Paulo, SP",cold,153
154,Joao 154,"Sao Paulo, SP",cold,154
155,Joao 155,"Sao Paulo, SP",cold,155
156,Joao 156,"Sao Paulo, SP",cold,156
157,Joao 157,"Sao Paulo, SP",cold,157
158,Joao 158,"Sao Paulo, SP",cold,158
159,Joao 159,"Sao Paulo, SP",cold,159
160,Joao 160,"Sao Paulo, SP",hot,160
161,Joao 161,"Sao Paulo, SP",cold,161
162,Joao 162,"Sao Paulo, SP",cold,162
163,Joao 163,"Sao Paulo, SP",cold,163
164,Joao 164,"Sao Paulo, SP",cold,164
165,Joao 165,"Sao Paulo, SP",cold,165
166,Joao 166,"Sao Paulo, SP",cold,166
167,Joao 167,"Sao Paulo, SP",cold,167
168,Joao 168,"Sao Paulo, SP",cold,168
169,Joao 169,"Sao Paulo, SP",cold,169
170,Joao 170,"Sao Paulo, SP",hot,170
171,Joao 171,"Sao Paulo, SP",cold,171
172,Joao 172,"Sao Paulo, SP",cold,172
173,Joao 173,"Sao Paulo, SP",cold,173
174,Joao 174,"Sao Paulo, SP",cold,174
175,Joao 175,"Sao Paulo, SP",cold,175
176,Joao 176,"Sao Paulo, SP",cold,176
177,Joao 177,"Sao Paulo, SP",cold,177
178,Joao 178,"Sao Paulo, SP",cold,178
179,Joao 179,"Sao Paulo, SP",cold,179
180,Joao 180,"Sao Paulo, SP",hot,180
181,Joao 181,"Sao Paulo, SP",cold,181
182,Joao 182,"Sao Paulo, SP",cold,182
183,Joao 183,"Sao Paulo, SP",cold,183
184,Joao 184,"Sao Paulo, SP",cold,184
185,Joao 185,"Sao Paulo, SP",cold,185
186,Joao 186,"Sao Paulo, SP",cold,186
187,Joao 187,"Sao Paulo, SP",cold,187
188,Joao 188,"Sao Paulo, SP",cold,188
189,Joao 189,"Sao Paulo, SP",cold,189
190,Joao 190,"Sao Paulo, SP",hot,190
191,Joao 191,"Sao Paulo, SP",cold,191
192,Joao 192,"Sao Paulo, SP",cold,192
193,Joao 193,"Sao Paulo, SP",cold,193
194,Joao 194,"Sao Paulo, SP",cold,194
195,Joao 195,"Sao Paulo, SP",cold,195
196,Joao 196,"Sao Paulo, SP",cold,196
197,Joao 197,"Sao Paulo, SP",cold,197
198,Joao 198,"Sao Paulo, SP",cold,198
199,Joao 199,"Sao Paulo, SP",cold,199
200,Joao 200,"Sao Paulo, SP",hot,200
201,Joao 201,"Sao Paulo, SP",cold,201
202,Joao 202,"Sao Paulo, SP",cold,202
203,Joao 203,"Sao Paulo, SP",cold,203
204,Joao 204,"Sao Paulo, SP",cold,204
205,Joao 205,"Sao Paulo, SP",cold,205
206,Joao 206,"Sao Paulo, SP",cold,206
207,Joao 207,"Sao Paulo, SP",cold,207
208,Joao 208,"Sao Paulo, SP",cold,208
209,Joao 209,"Sao Paulo, SP",cold,209
210,Joao 210,"Sao Paulo, SP",hot,210
211,Joao 211,"Sao Paulo, SP",cold,211
212,Joao 212,"Sao Paulo, SP",cold,212
213,Joao 213,"Sao Paulo, SP",cold,213
214,Joao 214,"Sao Paulo, SP",cold,214
215,Joao 215,"Sao Paulo, SP",cold,215
216,Joao 216,"Sao Paulo, SP",cold,216
217,Joao 217,"Sao Paulo, SP",cold,217
218,Joao 218,"Sao Paulo, SP",cold,218
219,Joao 219,"Sao Paulo, SP",cold,219
220,Joao 220,"Sao Paulo, SP",hot,220
221,Joao 221,"Sao Paulo, SP",cold,221
222,Joao 222,"Sao Paulo, SP",cold,222
223,Joao 223,"Sao Paulo, SP",cold,223
224,Joao 224,"Sao Paulo, SP",cold,224
225,Joao 225,"Sao Paulo, SP",cold,225
226,Joao 226,"Sao Paulo, SP",cold,226
227,Joao 227,"Sao Paulo, SP",cold,227
228,Joao 228,"Sao Paulo, SP",cold,228
229,Joao 229,"Sao Paulo, SP",cold,229
230,Joao 230,"Sao Paulo, SP",hot,230
231,Joao 231,"Sao Paulo, SP",cold,231
232,Joao 232,"Sao Paulo, SP",cold,232
233,Joao 233,"Sao Paulo, SP",cold,233
234,Joao 234,"Sao Paulo, SP",cold,234
235,Joao 235,"Sao Paulo, SP",cold,235
236,Joao 236,"Sao Paulo, SP",cold,236
237,Joao 237,"Sao Paulo, SP",cold,237
238,Joao 238,"Sao Paulo, SP",cold,238
239,Joao 239,"Sao Paulo, SP",cold,239
240,Joao 240,"Sao Paulo, SP",hot,240
241,Joao 241,"Sao Paulo, SP",cold,241
242,Joao 242,"Sao Paulo, SP",cold,242
243,Joao 243,"Sao Paulo, SP",cold,243
244,Joao 244,"Sao Paulo, SP",cold,244
245,Joao 245,"Sao Paulo, SP",cold,245
246,Joao 246,"Sao Paulo, SP",cold,246
247,Joao 247,"Sao Paulo, SP",cold,247
248,Joao 248,"Sao Paulo, SP",cold,248
249,Joao 249,"Sao Paulo, SP",cold,249
250,Joao 250,"Sao Paulo, SP",hot,250
251,Joao 251,"Sao Paulo, SP",cold,251
252,Joao 252,"Sao Paulo, SP",cold,252
253,Joao 253,"Sao Paulo, SP",cold,253
254,Joao 254,"Sao Paulo, SP",cold,254
255,Joao 255,"Sao Paulo, SP",cold,255
256,Joao 256,"Sao Paulo, SP",cold,256
257,Joao 257,"Sao Paulo, SP",cold,257
258,Joao 258,"Sao Paulo, SP",cold,258
259,Joao 259,"Sao Paulo, SP",cold,259
260,Joao 260,"Sao Paulo, SP",hot,260
261,Joao 261,"Sao Paulo, SP",cold,261
262,Joao 262,"Sao Paulo, SP",cold,262
263,Joao 263,"Sao Paulo, SP",cold,263
264,Joao 264,"Sao Paulo, SP",cold,264
265,Joao 265,"Sao Paulo, SP",cold,265
266,Joao 266,"Sao Paulo, SP",cold,266
267,Joao 267,"Sao Paulo, SP",cold,267
268,Joao 268,"Sao Paulo, SP",cold,268
269,Joao 269,"Sao Paulo, SP",cold,269
270,Joao 270,"Sao Paulo, SP",hot,270
271,Joao 271,"Sao Paulo, SP",cold,271
272,Joao 272,"Sao Paulo, SP",cold,272
273,Joao 273,"Sao Paulo, SP",cold,273
274,Joao 274,"Sao Paulo, SP",cold,274
275,Joao 275,"Sao Paulo, SP",cold,275
276,Joao 276,"Sao Paulo, SP",cold,276
277,Joao 277,"Sao Paulo, SP",cold,277
278,Joao 278,"Sao Paulo, SP",cold,278
279,Joao 279,"Sao Paulo, SP",cold,279
280,Joao 280,"Sao Paulo, SP",hot,280
281,Joao 281,"Sao Paulo, SP",cold,281
282,Joao 282,"Sao Paulo, SP",cold,282
283,Joao 283,"Sao Paulo, SP",cold,283
284,Joao 284,"Sao Paulo, SP",cold,284
285,Joao 285,"Sao Paulo, SP",cold,285
286,Joao 286,"Sao Paulo, SP",cold,286
287,Joao 287,"Sao Paulo, SP",cold,287
288,Joao 288,"Sao Paulo, SP",cold,288
289,Joao 289,"Sao Paulo, SP",cold,289
290,Joao 290,"Sao Paulo, SP",hot,290
291,Joao 291,"Sao Paulo, SP",cold,291
292,Joao 292,"Sao Paulo, SP",cold,292
293,Joao 293,"Sao Paulo, SP",cold,293
294,Joao 294,"Sao Paulo, SP",cold,294
295,Joao 295,"Sao Paulo, SP",cold,295
296,Joao 296,"Sao Paulo, SP",cold,296
297,Joao 297,"Sao Paulo, SP",cold,297
298,Joao 298,"Sao Paulo, SP",cold,298
299,Joao 299,"Sao Paulo, SP",cold,299
300,Joao 300,"Sao Paulo, SP",hot,300
301,Joao 301,"Sao Paulo, SP",cold,301
302,Joao 302,"Sao Paulo, SP",cold,302
303,Joao 303,"Sao Paulo, SP",cold,303
304,Joao 304,"Sao Paulo, SP",cold,304
305,Joao 305,"Sao Paulo, SP",cold,305
306,Joao 306,"Sao Paulo, SP",cold,306
307,Joao 307,"Sao Paulo, SP",cold,307
308,Joao 308,"Sao Paulo, SP",cold,308
309,Joao 309,"Sao Paulo, SP",cold,309
310,Joao 310,"Sao Paulo, SP",hot,310
311,Joao 311,"Sao Paulo, SP",cold,311
312,Joao 312,"Sao Paulo, SP",cold,312
313,Joao 313,"Sao Paulo, SP",cold,313
314,Joao 314,"Sao Paulo, SP",cold,314
315,Joao 315,"Sao Paulo, SP",cold,315
316,Joao 316,"Sao Paulo, SP",cold,316
317,Joao 317,"Sao Paulo, SP",cold,317
318,Joao 318,"Sao Paulo, SP",cold,318
319,Joao 319,"Sao Paulo, SP",cold,319
320,Joao 320,"Sao Paulo, SP",hot,320
321,Joao 321,"Sao Paulo, SP",cold,321
322,Joao 322,"Sao Paulo, SP",cold,322
323,Joao 323,"Sao Paulo, SP",cold,323
324,Joao 324,"Sao Paulo, SP",cold,324
325,Joao 325,"Sao Paulo, SP",cold,325
326,Joao 326,"Sao Paulo, SP",cold,326
327,Joao 327,"Sao Paulo, SP",cold,327
328,Joao 328,"Sao Paulo, SP",cold,328
329,Joao 329,"Sao Paulo, SP",cold,329
330,Joao 330,"Sao Paulo, SP",hot,330
331,Joao 331,"Sao Paulo, SP",cold,331
332,Joao 332,"Sao Paulo, SP",cold,332
333,Joao 333,"Sao Paulo, SP",cold,333
334,Joao 334,"Sao Paulo, SP",cold,334
335,Joao 335,"Sao Paulo, SP",cold,335
336,Joao 336,"Sao Paulo, SP",cold,336
337,Joao 337,"Sao Paulo, SP",cold,337
338,Joao 338,"Sao Paulo, SP",cold,338
339,Joao 339,"Sao Paulo, SP",cold,339
340,Joao 340,"Sao Paulo, SP",hot,340
341,Joao 341,"Sao Paulo, SP",cold,341
342,Joao 342,"Sao Paulo, SP",cold,342
343,Joao 343,"Sao Paulo, SP",cold,343
344,Joao 344,"Sao Paulo, SP",cold,344
345,Joao 345,"Sao Paulo, SP",cold,345
346,Joao 346,"Sao Paulo, SP",cold,346
347,Joao 347,"Sao Paulo, SP",cold,347
348,Joao 348,"Sao Paulo, SP",cold,348
349,Joao 349,"Sao Paulo, SP",cold,349
350,Joao 350,"Sao Paulo, SP",hot,350
351,Joao 351,"Sao Paulo, SP",cold,351
352,Joao 352,"Sao Paulo, SP",cold,352
353,Joao 353,"Sao Paulo, SP",cold,353
354,Joao 354,"Sao Paulo, SP",cold,354
355,Joao 355,"Sao Paulo, SP",cold,355
356,Joao 356,"Sao Paulo, SP",cold,356
357,Joao 357,"Sao Paulo, SP",cold,357
358,Joao 358,"Sao Paulo, SP",cold,358
359,Joao 359,"Sao Paulo, SP",cold,359
360,Joao 360,"Sao Paulo, SP",hot,360
361,Joao 361,"Sao Paulo, SP",cold,361
362,Joao 362,"Sao Paulo, SP",cold,362
363,Joao 363,"Sao Paulo, SP",cold,363
364,Joao 364,"Sao Paulo, SP",cold,364
365,Joao 365,"Sao Paulo, SP",cold,365
366,Joao 366,"Sao Paulo, SP",cold,366
367,Joao 367,"Sao Paulo, SP",cold,367
368,Joao 368,"Sao Paulo, SP",cold,368
369,Joao 369,"Sao Paulo, SP",cold,369
370,Joao 370,"Sao Paulo, SP",hot,370
371,Joao 371,"Sao Paulo, SP",cold,371
372,Joao 372,"Sao Paulo, SP",cold,372
373,Joao 373,"Sao Paulo, SP",cold,373
374,Joao 374,"Sao Paulo, SP",cold,374
375,Joao 375,"Sao Paulo, SP",cold,375
376,Joao 376,"Sao Paulo, SP",cold,376
377,Joao 377,"Sao Paulo, SP",cold,377
378,Joao 378,"Sao Paulo, SP",cold,378
379,Joao 379,"Sao Paulo, SP",cold,379
380,Joao 380,"Sao Paulo, SP",hot,380
381,Joao 381,"Sao Paulo, SP",cold,381
382,Joao 382,"Sao Paulo, SP",cold,382
383,Joao 383,"Sao Paulo, SP",cold,383
384,Joao 384,"Sao Paulo, SP",cold,384
385,Joao 385,"Sao Paulo, SP",cold,385
386,Joao 386,"Sao Paulo, SP",cold,386
387,Joao 387,"Sao Paulo, SP",cold,387
388,Joao 388,"Sao Paulo, SP",cold,388
389,Joao 389,"Sao Paulo, SP",cold,389
390,Joao 390,"Sao Paulo, SP",hot,390
391,Joao 391,"Sao Paulo, SP",cold,391
392,Joao 392,"Sao Paulo, SP",cold,392
393,Joao 393,"Sao Paulo, SP",cold,393
394,Joao 394,"Sao Paulo, SP",cold,394
395,Joao 395,"Sao Paulo, SP",cold,395
396,Joao 396,"Sao Paulo, SP",cold,396
397,Joao 397,"Sao Paulo, SP",cold,397
398,Joao 398,"Sao Paulo, SP",cold,398
399,Joao 399,"Sao Paulo, SP",cold,399
400,Joao 400,"Sao Paulo, SP",hot,400
401,Joao 401,"Sao Paulo, SP",cold,401
402,Joao 402,"Sao Paulo, SP",cold,402
403,Joao 403,"Sao Paulo, SP",cold,403
404,Joao 404,"Sao Paulo, SP",cold,404
405,Joao 405,"Sao Paulo, SP",cold,405
406,Joao 406,"Sao Paulo, SP",cold,406
407,Joao 407,"Sao Paulo, SP",cold,407
408,Joao 408,"Sao Paulo, SP",cold,408
409,Joao 409,"Sao Paulo, SP",cold,409
410,Joao 410,"Sao Paulo, SP",hot,410
411,Joao 411,"Sao Paulo, SP",cold,411
412,Joao 412,"Sao Paulo, SP",cold,412
413,Joao 413,"Sao Paulo, SP",cold,413
414,Joao 414,"Sao Paulo, SP",cold,414
415,Joao 415,"Sao Paulo, SP",cold,415
416,Joao 416,"Sao Paulo, SP",cold,416
417,Joao 417,"Sao Paulo, SP",cold,417
418,Joao 418,"Sao Paulo, SP",cold,418
419,Joao 419,"Sao Paulo, SP",cold,419
420,Joao 420,"Sao Paulo, SP",hot,420
421,Joao 421,"Sao Paulo, SP",cold,421
422,Joao 422,"Sao Paulo, SP",cold,422
423,Joao 423,"Sao Paulo, SP",cold,423
424,Joao 424,"Sao Paulo, SP",cold,424
425,Joao 425,"Sao Paulo, SP",cold,425
426,Joao 426,"Sao Paulo, SP",cold,426
427,Joao 427,"Sao Paulo, SP",cold,427
428,Joao 428,"Sao Paulo, SP",cold,428
429,Joao 429,"Sao Paulo, SP",cold,429
430,Joao 430,"Sao Paulo, SP",hot,430
431,Joao 431,"Sao Paulo, SP",cold,431
432,Joao 432,"Sao Paulo, SP",cold,432
433,Joao 433,"Sao Paulo, SP",cold,433
434,Joao 434,"Sao Paulo, SP",cold,434
435,Joao 435,"Sao Paulo, SP",cold,435
436,Joao 436,"Sao Paulo, SP",cold,436
437,Joao 437,"Sao Paulo, SP",cold,437
438,Joao 438,"Sao Paulo, SP",cold,438
439,Joao 439,"Sao Paulo, SP",cold,439
440,Joao 440,"Sao Paulo, SP",hot,440
441,Joao 441,"Sao Paulo, SP",cold,441
442,Joao 442,"Sao Paulo, SP",cold,442
443,Joao 443,"Sao Paulo, SP",cold,443
444,Joao 444,"Sao Paulo, SP",cold,444
445,Joao 445,"Sao Paulo, SP",cold,445
446,Joao 446,"Sao Paulo, SP",cold,446
447,Joao 447,"Sao Paulo, SP",cold,447
448,Joao 448,"Sao Paulo, SP",cold,448
449,Joao 449,"Sao Paulo, SP",cold,449
450,Joao 450,"Sao Paulo, SP",hot,450
451,Joao 451,"Sao Paulo, SP",cold,451
452,Joao 452,"Sao Paulo, SP",cold,452
453,Joao 453,"Sao Paulo, SP",cold,453
454,Joao 454,"Sao Paulo, SP",cold,454
455,Joao 455,"Sao Paulo, SP",cold,455
456,Joao 456,"Sao Paulo, SP",cold,456
457,Joao 457,"Sao Paulo, SP",cold,457
458,Joao 458,"Sao Paulo, SP",cold,458
459,Joao 459,"Sao Paulo, SP",cold,459
460,Joao 460,"Sao Paulo, SP",hot,460
461,Joao 461,"Sao Paulo, SP",cold,461
462,Joao 462,"Sao Paulo, SP",cold,462
463,Joao 463,"Sao Paulo, SP",cold,463
464,Joao 464,"Sao Paulo, SP",cold,464
465,Joao 465,"Sao Paulo, SP",cold,465
466,Joao 466,"Sao Paulo, SP",cold,466
467,Joao 467,"Sao Paulo, SP",cold,467
468,Joao 468,"Sao Paulo, SP",cold,468
469,Joao 469,"Sao Paulo, SP",cold,469
470,Joao 470,"Sao Paulo, SP",hot,470
471,Joao 471,"Sao Paulo, SP",cold,471
472,Joao 472,"Sao Paulo, SP",cold,472
473,Joao 473,"Sao Paulo, SP",cold,473
474,Joao 474,"Sao Paulo, SP",cold,474
475,Joao 475,"Sao Paulo, SP",cold,475
476,Joao 476,"Sao Paulo, SP",cold,476
477,Joao 477,"Sao Paulo, SP",cold,477
478,Joao 478,"Sao Paulo, SP",cold,478
479,Joao 479,"Sao Paulo, SP",cold,479
480,Joao 480,"Sao Paulo, SP",hot,480
481,Joao 481,"Sao Paulo, SP",cold,481
482,Joao 482,"Sao Paulo, SP",cold,482
483,Joao 483,"Sao Paulo, SP",cold,483
484,Joao 484,"Sao Paulo, SP",cold,484
485,Joao 485,"Sao Paulo, SP",cold,485
486,Joao 486,"Sao Paulo, SP",cold,486
487,Joao 487,"Sao Paulo, SP",cold,487
488,Joao 488,"Sao Paulo, SP",cold,488
489,Joao 489,"Sao Paulo, SP",cold,489
490,Joao 490,"Sao Paulo, SP",hot,490
491,Joao 491,"Sao Paulo, SP",cold,491
492,Joao 492,"Sao Paulo, SP",cold,492
493,Joao 493,"Sao Paulo, SP",cold,493
494,Joao 494,"Sao Paulo, SP",cold,494
495,Joao 495,"Sao Paulo, SP",cold,495
496,Joao 496,"Sao Paulo, SP",cold,496
497,Joao 497,"Sao Paulo, SP",cold,497
498,Joao 498,"Sao Paulo, SP",cold,498
499,Joao 499,"Sao Paulo, SP",cold,499
500,Joao 500,"Sao Paulo, SP",hot,500
501,Joao 501,"Sao Paulo, SP",cold,501
502,Joao 502,"Sao Paulo, SP",cold,502
503,Joao 503,"Sao Paulo, SP",cold,503
504,Joao 504,"Sao Paulo, SP",cold,504
505,Joao 505,"Sao Paulo, SP",cold,505
506,Joao 506,"Sao Paulo, SP",cold,506
507,Joao 507,"Sao Paulo, SP",cold,507
508,Joao 508,"Sao Paulo, SP",cold,508
509,Joao 509,"Sao Paulo, SP",cold,509
510,Joao 510,"Sao Paulo, SP",hot,510
511,Joao 511,"Sao Paulo, SP",cold,511
512,Joao 512,"Sao Paulo, SP",cold,512
513,Joao 513,"Sao Paulo, SP",cold,513
514,Joao 514,"Sao Paulo, SP",cold,514
515,Joao 515,"Sao Paulo, SP",cold,515
516,Joao 516,"Sao Paulo, SP",cold,516
517,Joao 517,"Sao Paulo, SP",cold,517
518,Joao 518,"Sao Paulo, SP",cold,518
519,Joao 519,"Sao Paulo, SP",cold,519
520,Joao 520,"Sao Paulo, SP",hot,520
521,Joao 521,"Sao Paulo, SP",cold,521
522,Joao 522,"Sao Paulo, SP",cold,522
523,Joao 523,"Sao Paulo, SP",cold,523
524,Joao 524,"Sao Paulo, SP",cold,524
525,Joao 525,"Sao Paulo, SP",cold,525
526,Joao 526,"Sao Paulo, SP",cold,526
527,Joao 527,"Sao Paulo, SP",cold,527
528,Joao 528,"Sao Paulo, SP",cold,528
529,Joao 529,"Sao Paulo, SP",cold,529
530,Joao 530,"Sao Paulo, SP",hot,530
531,Joao 531,"Sao Paulo, SP",cold,531
532,Joao 532,"Sao Paulo, SP",cold,532
533,Joao 533,"Sao Paulo, SP",cold,533
534,Joao 534,"Sao Paulo, SP",cold,534
535,Joao 535,"Sao Paulo, SP",cold,535
536,Joao 536,"Sao Paulo, SP",cold,536
537,Joao 537,"Sao Paulo, SP",cold,537
538,Joao 538,"Sao Paulo, SP",cold,538
539,Joao 539,"Sao Paulo, SP",cold,539
540,Joao 540,"Sao Paulo, SP",hot,540
541,Joao 541,"Sao Paulo, SP",cold,541
542,Joao 542,"Sao Paulo, SP",cold,542
543,Joao 543,"Sao Paulo, SP",cold,543
544,Joao 544,"Sao Paulo, SP",cold,544
545,Joao 545,"Sao Paulo, SP",cold,545
546,Joao 546,"Sao Paulo, SP",cold,546
547,Joao 547,"Sao Paulo, SP",cold,547
548,Joao 548,"Sao Paulo, SP",cold,548
549,Joao 549,"Sao Paulo, SP",cold,549
550,Joao 550,"Sao Paulo, SP",hot,550
551,Joao 551,"Sao Paulo, SP",cold,551
552,Joao 552,"Sao Paulo, SP",cold,552
553,Joao 553,"Sao Paulo, SP",cold,553
554,Joao 554,"Sao Paulo, SP",cold,554
555,Joao 555,"Sao Paulo, SP",cold,555
556,Joao 556,"Sao Paulo, SP",cold,556
557,Joao 557,"Sao Paulo, SP",cold,557
